model,perturbation method,source split,example_id,label,hypothesis,original premise,perturbed premise
bart,passive,matched,1088,0,Co-requesters cannot approve more co-requesters.,"However, co-requesters cannot approve additional co-requesters or restrict the timing of the release of the product after it is issued.",Requesters was approved by requesters.
bart,passive,matched,1167,0,There was one state official that told of the success he had that came from a lot of different experiences.,"For instance, one state government CIO attributed his success to his breadth of experience across a variety of financial, retail, and IT units, which facilitates his ability to",His success was attributed by one state government CIO.
bart,passive,matched,1322,0,Fantastic birds and butterflies can be seen being made of paper in the kampung workshops.,"In kampung workshops you can watch fantastic birds and butterflies being made of paper (and increasingly, nowadays, of plastic, too) drawn over strong, flexible bamboo frames.",Fantastic birds and butterflies being made of paper was watched by you.
bart,passive,matched,1363,0,Do you think our taxes are too high?,well uh what do you think about taxes do you think we're paying too much,What was thought by you.
bart,passive,matched,1521,0,Drug treatments combined with strategies that boost the immune system could be the solution to HIV.,"From here, many HIV researchers are putting their hopes on combining drug treatments with strategies that boost the immune system.",Their hopes was put by many HIV researchers.
bart,passive,matched,1613,0,That worked for me when I did it throughout college,yeah i know and i did that all through college and it worked too,That was done by i.
bart,passive,matched,1636,1,"It does not include the mail sent in response to advertising, which might drive up revenue.",Neither does it include the mail sent in response to advertising.,The mail sent in response to advertising was included by it.
bart,passive,matched,1786,0,The girl will have most likely forgotten that period.,"But in all probability the girl will have entirely forgotten the intervening period, and will take up life where she left off at the sinking of the Lusitania.""","The intervening period was forgotten by the girl"""
bart,passive,matched,1864,0,"I can put pretty much anything in the ground, from beets to onions.",yeah i can usually i can put in oh probably mid March i can put anything in the ground you know beets and onions and stuff like that,Beets and onions and stuff like that was put by i.
bart,passive,matched,1979,0,At a later date the company informed us they canceled the program.,The company later told us that it had discontinued the program because of its adverse effect on employee morale.,Us was told by the company.
bart,passive,matched,2113,1,Jon stabbed the man in the throat once and then stabbed the man in the chest.,Jon drew it out and stabbed again in the man's throat.,It was drawn by Jon.
bart,passive,matched,2320,0,I'm going to try because you can see and touch the oil filters right there.,at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there,It was touched by you.
bart,passive,matched,2359,2,I just love using my new credit card.,and see the thing is you know he go out and he'll spend it when he wants you know and uh uh i'm afraid to i'm afraid to use that credit card,It was spent by he.
bart,passive,matched,2432,0,You will know when the boats are ready to leave when the bells ring and the gangplank is raised.,"As the double-decker boats get ready to leave the pier, bells ring, the gangplank is raised, deckhands in blue sailor suits man the hawsers, and a couple of hundred commuters begin a seven-minute sightseeing tour.",The hawsers was manned by deckhands in blue sailor suits.
bart,passive,matched,2477,2,We had the advantage of having more bullets than them.,"Only trouble was, they had infinite ammunition...we only had so many bullets.",So many bullets was had by we.
bart,passive,matched,2521,0,Disbursement of pay must be facilitated by reporting information to the home agency.,It must also report the information to the employee's home agency promptly to facilitate disbursement of pay by the home agency.,The information to the employee's home agency was reported by It.
bart,passive,matched,2684,0,Auditors can use this site to find tools and resources and learn about best practices.,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.","Information links, tools was provided by this site."
bart,passive,matched,2739,2,Time went by so slow and we were extremely bored.,you know it took away a lot of of time from them we did go out to you know to the places that you typically take children to and we had a lot of fun but it seems as though the time went by so fast that,A lot of of time was taken by it.
bart,passive,matched,2794,2,Scientists gave animals irradiated chicken and they all died quickly.,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Dogs and other animals was fed by scientists.
bart,passive,matched,2874,0,If they go home they aren't breaking promises.,They aren't breaking any promises if they decide to take their ball and go home.,Any promises was broken by They.
bart,passive,matched,2926,2,"When tea was done, he took his hands off me.","Of how, when tea was done, and everyone had stood,He reached for my head, put his hands over it,And gently pulled me to his chest, which smelledOf dung smoke and cinnamon and mutton grease.I could hear his wheezy breathing now, like the prophet's Last whispered word repeated by the faithful.Then he prayed for what no one had time to translate--His son interrupted the old man to tell him a groupOf snake charmers sought his blessing, and a blind thief.The saint pushed me away, took one long look,Then straightened my collar and nodded me toward the door.",His wheezy breathing was heard by I.
bart,passive,matched,3006,2,Agency officials need to identify the components that failed them.,"From the inventories of the initiatives they developed in response to our request, we asked agency officials to identify those agency components and initiatives that, in their view, had successfully involved and empowered employees.",Agency officials was asked by we.
bart,passive,matched,3090,0,My PC is used as an emulator for a mainframe terminal.,i also use my PC to emulate a mainframe terminal for our IBM mainframe and also to emulate a deck terminal for our deck machine,My PC was used by i.
bart,passive,matched,3188,0,"Along side the road leading to the entrance, you will pass fields of tomatoes.","As the road climbs toward the entrance, you'll pass fields full of Santorini's famed tomatoes growing on the steep slopes.",Fields full of Santorini's famed tomatoes growing on the steep slopes was passed by you.
bart,passive,matched,3276,0,The paper did not explain that.,Because the paper did not say that.,That was said by the paper.
bart,passive,matched,3537,0,13 executives effectively implemented the government performance and results act ,"13 Executive  Effectively Implementing the Government Performance and Results Act ( GAO/GGD-96-118, June 1996).","The Government Performance and Results Act ( GAO/GGD-96-118, June 1996 was Implemented by 13 Executive  ."
bart,passive,matched,3774,2,McGrath claims that everything in the memorial was accurate.,"New York Times Book Review Editor Charles McGrath, a former deputy to William Shawn at the New Yorker , calls Lillian Ross' memoir about her affair with Shawn on occasion factually inaccurate or misleading and a betrayal of Shawn's high editorial principles.","Lillian Ross' memoir was called by New York Times Book Review Editor Charles McGrath , a former deputy to William Shawn at the New Yorker ,."
bart,passive,matched,3821,1,Stark had two swords stuck in his neck.,Each one planting itself in the sides of Stark's neck.,Itself was planted by each one.
bart,passive,matched,4265,1,People will think you are boring.,It spoils the sport.,The sport was spoiled by It.
bart,passive,matched,4274,2,I would like to buy a car with the seat belts under the door.,i tell you what i would not i would not buy a car that had the seat belt where it was hooked under the door,You was told by i.
bart,passive,matched,4344,0,Critics say Goodman has an instinctive grasp of familial dynamics. ,"Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...",The ways in which dreams and emotional habits are handed down was praised by Critics...
bart,passive,matched,4462,2,Blacks braid their hair because they're forced to.,Black professionals braid their hair to display their ethnic pride.,Their hair was braided by Black professionals.
bart,passive,matched,4482,0,"It is possible that the Lingurian coast was populated by North Africans and eastern Europeans, whereas people from the Balkans and Asia Minor may have settled in the Adriatic and south.","Perhaps North Africans and eastern Europeans peopled the Ligurian coast, while the Adriatic and south may have been settled by people from the Balkans and Asia Minor.",The Ligurian coast was peopled by North Africans and eastern Europeans.
bart,passive,matched,4491,0,If the United States had maximized their potential.,if the United States had used full conventional power.,Full conventional power was used by the United States.
bart,passive,matched,4623,0,"I believe that many children think it's amusing, the similar uneasiness that there's someone beneath the bed.",but i think a lot of kids it's funny get the same kind of fears like there's somebody under the bed,A lot of kids was thought by i.
bart,passive,matched,4872,0,Time went by too fast while we were having fun with the kids.,you know it took away a lot of of time from them we did go out to you know to the places that you typically take children to and we had a lot of fun but it seems as though the time went by so fast that,A lot of of time was taken by it.
bart,passive,matched,5117,2,They like it way more than men do.,They just don't like it as much as men do.,It was liked by They.
bart,passive,matched,5151,0,Your mistress wrote letters last night.,"When Mr. Hastings and Mr. Lawrence came in yesterday evening, they found your mistress busy writing letters. ",Your mistress busy writing letters was found by they.
bart,passive,matched,5193,2,The reviewing has been taken place without the request of the Republican member previously.,"Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.",Activities of President Clintonas Task Force on Health Care Reform was reviewed by GAO.
bart,passive,matched,5199,0,You can get to Old Cairo by taking the Nile River Bus. ,To reach Old Cairo take the Nile River Bus from the jetty near the Ramses Hilton hotel; it will drop you at the terminus of Masr El-Qadeema; or take the Cairo metro line 1 to Mari Girgis Station.,You was dropped by it.
bart,passive,matched,5223,2,The weird thing is that Iraq was never interested in that place until now.,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up,Designs on that place was had by Iraq.
bart,passive,matched,5280,2,It took me hours to figure out how to set it up myself.,and he's an engineer so he even came over and set it up for me and had it running for like two hundred dollars so i thought that,That was thought by i.
bart,passive,matched,5326,1,Do you play sports on the weekend or do you go to the zoo?,yeah and how about how about like on the weekends do you do sports or do you go out,Sports was done by you.
bart,passive,matched,5347,0,Affirmative action opponents say that whites would move down the list.,"Under the overmechanical assumptions of affirmative-action opponents themselves (and putting aside the racial IQ theories of Murray and some others), blacks would move up the list, and whites would move down.",The list was moved by blacks.
bart,passive,matched,5417,0,The audit committees are used to look into the financial aspects of certain businesses.,"Audit committees should not only oversee both internal and external auditors, but also be proactively involved in understanding issues related to the complexity of the business, and, when appropriate, challenge management through discussion of choices regarding complex accounting, financial reporting, and auditing issues.","When appropriate, challenge management was overseen by Audit committees."
bart,passive,matched,5501,0,Buying him a power mower would probably help him finish the job sooner.,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,A power mower was got by if you.
bart,passive,matched,5520,2,"If I needed to take time off from work, I could afford it.",wow who can afford that  my God i can't afford to miss a day let alone six,Six was afforded by who.
bart,passive,matched,5600,0,I am unable to jump since of the pain.,i can't do any jumping up and down because it makes it hurt,Any jumping up and down was done by i.
bart,passive,matched,5740,2,Do not put any garlic or hot pepper in it.,and you fry them with garlic and a little bit of couple dashes of hot pepper,Them was fried by you.
bart,passive,matched,5849,0,President Clinton was utilizing the powers granted to him by the Constitution when he made the request.,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.","Activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers was reviewed by GAO."
bart,passive,matched,5892,0,They can't defend themselves.,you know they can't really defend themselves like somebody grown uh say my age you know yeah,Themselves was defended by they.
bart,passive,matched,6047,2,The man made lots of noise.,He watched San'doro silent in his thoughts.,San'doro was watched by He.
bart,passive,matched,6105,0,A Final Regulatory Flexibility Analysis was published by the Commission in 1996,"The Commission published a summary of its Final Regulatory Flexibility Analysis in the Federal Register on September 12, 1996 (61 Fed.",A summary of its Final Regulatory Flexibility Analysis in the Federal Register was published by the Commission.
bart,passive,matched,6232,2,The Huaisheng Mosque is China's youngest mosque.,"This explains the presence in Guangzhou of the Huaisheng Mosque, reputed to be China's oldest, and traditionally dated a.d. 627.",The presence in Guangzhou of the Huaisheng Mosque was explained by This.
bart,passive,matched,6298,0,The matter of whether or not the Mass is a sacrifice for the remission of sins is controversial.,"As for the divisive issue of whether the Mass is a sacrifice for the remission of sins, the statement affirms that Christ's death upon the cross ...",That Christ's death upon the cross was affirmed by the statement...
bart,passive,matched,6336,0,Tons of people think about human factors but I'm looking at IBM right now.,oh yeah IBM uh i mean uh a lot of people use human factors folks but IBM is what i'm looking at right now,Human factors folks was used by a lot of people.
bart,passive,matched,6371,0,On his Birthday Strom Thurmond announced his retirement from the Senate Armed Services Committee in one year.,"Strom Thurmond , R-S.C., celebrated his 95 th birthday by announcing that he will relinquish the chairmanship of the Senate Armed Services Committee a year from now.","His 95 th birthday was celebrated by Strom Thurmond , R - S.C. ,."
bart,passive,matched,6390,2,China had many more nuclear warhead than the US.,"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads.",The warhead blizzard was trumped by China.
bart,passive,matched,6729,0,The United States has much stronger warheads than China.,"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads.",The warhead blizzard was trumped by China.
bart,passive,matched,6740,0,We need men to help us spike the river.,We will also need any able bodied men to help us spike the river.,Any able bodied men was needed by We.
bart,passive,matched,6932,0,"Fresh products of Irelands seas, rivers, and farms are what New Irish Cuisine is built upon.  ","Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.",International restaurants galore was had by Dublin.
bart,passive,matched,7041,0,"After the Vatican II, Catholicism became less insular in its focus.",Vatican II gave rise to a less hierarchical and more outward-looking Catholicism and set the stage for once-unthinkable innovations like plainclothes nuns and the celebration of the Mass in English and other modern languages.,Rise was given by Vatican II.
bart,passive,matched,7058,2,The entity will receive appropriate compensation for forfeited property.,The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.,Anything of value was sacrificed by the Government.
bart,passive,matched,7204,0,"If it's is over six hundred you are required to do it, but I got one thirty one. ",and if it's above six hundred you're going to have to do it and i got one thirty one,One thirty one was got by i.
bart,passive,matched,7435,0,You will find some fino and olorose if you look.,You will find two principal  fino and olorose,Two principal  fino was found by You.
bart,passive,matched,7480,0,You can design your own plate or whole dinner service in Hong Kong.,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.","A plate, or even a whole dinner service, was had by you."
bart,passive,mismatched,7523,0,"You got information yet, United 93?"," United nine three, have you got information on that yet?",Information on that was got by you?
bart,passive,mismatched,7528,0,They gave support to civilian groups to see how bad the attack was.,"Under the command of state governors, they provided support to civilian agencies to assess the nature of the attack, offer medical and technical advice, and coordinate state and local responses.",Support was provided by they.
bart,passive,mismatched,7590,0,Is that done a lot with people like Britney Spears?,Don't they do that a lot with like Britney Spears and people like that?,That was done by they?
bart,passive,mismatched,7757,0,Some children who buy and sell candy on the street develop sophisticated concepts of classification and equivalence.,"In Brazil, child street vendors with little or no schooling display sophisticated concepts of classification and equivalence as the result of buying candy from wholesalers, pricing it with the help of adults and experienced peers, and bargaining with customers on city streets.",Sophisticated concepts of classification and equivalence was displayed by child street vendors with little or no schooling.
bart,passive,mismatched,7817,0,Bush authorized the military to help in Somalia for humanitarian reasons.,The first President Bush had authorized the use of U.S. military forces to ensure humanitarian relief in war-torn Somalia.,The use of U.S. military forces was authorized by the first President Bush.
bart,passive,mismatched,7863,2,Only a twisted mind would read crude meanings into such terms.,It does not take a too-wicked mind to read into such terms meanings of a lewd nature.,A too-wicked mind was taken by It.
bart,passive,mismatched,7879,1,My family all lives in downtown Charlotte.,"Um, I wanted to be closer to my family, number one, and, um, number two, I have a lot of friends coming here, which helped me a lot, and, um, I just liked the Charlotte, um, UNC Charlotte because I wanted to be a, a nurse.","A lot of friends coming here, which helped me a lot, and, was had by I."
bart,passive,mismatched,7903,2,Apparel manufacturers can improve the assembly stage through team-based production but not modular production.,"Finally, apparel manufacturers can make innovations in the assembly stage through modular, or team-based, production.",Innovations in the assembly stage was made by apparel manufacturers.
bart,passive,mismatched,8146,0,"They make sure he or she notices by touching, holding up or pointing at an object while looking at another person.","They touch an object, hold it up, or point to it while looking at another person to make sure he or she notices.",An object was touched by They.
bart,passive,mismatched,8415,2,We knew more about diabetes when we were building our marriage and trying to adjust to having it in our lives.,"We didn't know as much about it as we do today, and were learning and adjusting to diabetes at the same time we were building our marriage.",As much about it was known by We.
bart,passive,mismatched,8479,2,"The commitments we currently have, stand at seventy percent of our goal. ","As of this date, we have received commitments for approximately forty percent of our goal to the Timothy J. O'Leary Periodontal Endowment Fund.",Commitments was received by we.
bart,passive,mismatched,8507,0,There was siding on her house.,We were putting siding on her house and beat on the door nobody comes to the door it's summertime everybody sleeping until 10:00.,Siding was put by We.
bart,passive,mismatched,8623,0,I am very fond of this area and I prefer to live close to my family.,"Um, I like this area a whole lot and it's, it's growing so much and I just want to be near my family so I can take care of them whenever they get older.",This area was liked by I.
bart,passive,mismatched,8638,0,In the past they would bring their lunches to school.,And how they use to take their lunches to school and some of the things they took for lunch like fatback meat biscuits and--.,And-- was used by they.
bart,passive,mismatched,8823,0,FAA control centers get information without necessarily sharing it with other centers.,FAA Control Centers often receive information and make operational decisions independently of one another.,Information was received by FAA Control Centers.
bart,passive,mismatched,8837,0,"The law school received only $18,114 in matching gifts in the year 1990.","In 1990, the law school received only $18,114 in matching gifts from 15 companies.","Only $18,114 in matching gifts from 15 companies was received by the law school."
bart,passive,mismatched,9206,0,The takeover began less than an hour after takeoff.,They initiated their cockpit takeover within 30 minutes of takeoff.,Their cockpit takeover was initiated by They.
bart,passive,mismatched,9340,0,"A peeler is needed, you can't do it with your hands.", You can't do it with your hands; you need a peeler.,A peeler was needed by you.
bart,passive,mismatched,9353,0,You composed this totally on your own.,You wrote this out all by yourself.,This was written by You.
bart,passive,mismatched,9519,1,Men benefited from not giving women the same education.,"Under  L,  entries include Latin/Greek , defined by Aphra Behn, cited in Dale Spender's book, as `Secret codes supplied through an education traditionally denied women.","Latin/Greek , defined by Aphra Behn, cited in Dale Spender's book, as `Secret codes supplied through an education was included by entries."
bart,passive,mismatched,9553,0,We have given quality education and continue to improve. ,"We have provided throughout the years quality legal education, and we are continuing to improve.",Quality legal education was provided by We.
bart,passive,mismatched,9575,2,Cathedral High School can continue its tradition of excellent regardless of your investment. ,I can assure you that your investment in this institution will allow us to continue the long tradition of excellence that is Cathedral High School.,You was assured by I.
bart,passive,mismatched,9620,0,The bonded progenitor of Scottish kings will be eliminated by the black agents.,"Yes, Night will devour Day, but Macbeth's significant meaning here  under cover of darkness'in reckless defiance of weird authority'he will have his black agents eliminate the bonded progenitor of Scottish kings, along with his only progeny.",Day was devoured by Night.
bart,passive,mismatched,9812,0,Washington was clad in an American dark brown suit at his 1789 inauguration.,"Indeed, Washington wore a dark brown suit, entirely made in America, for his first inaugural on April 30, 1789.","A dark brown suit, entirely made in America, was worn by Washington."
bart,passive,mismatched,9942,2,All products a firm carries will have moderate demand variation.,"But in most situations in which a firm provides a wide range of goods to customers, some of its products will have low or moderate demand variation, while others' demand will vary a great deal.",Low or moderate demand variation was had by some of its products.
bart,passive,mismatched,9943,0,The ground stop was extended nationwide upon learning of the missing plane.,"After learning that United Airlines was missing a plane, American Airlines headquarters extended the ground stop nationwide.",Stop nationwide was extended by American Airlines headquarters.
bart,passive,mismatched,9959,0,We studied at the cathedral during our schooling years. ,Cathedral provided us with a good education and a great foundation for our futures.,Us was provided by Cathedral.
bart,passive,mismatched,10075,0,Fighter aircraft were authorized to engage the plane.,The Vice President authorized fighter aircraft to engage the inbound plane.,Fighter aircraft was authorized by the Vice President.
bart,passive,mismatched,10245,0,Please give a gift to Herron School of Art for the end of the year.,As you review the gifts you've made this year I please consider a year-end gift to Herron School of Art.,A year-end gift was considered by I.
bart,passive,mismatched,10294,0,He saw Israel as the priority for the next stage because he was a Palestinian.,"And, as a Palestinian, he saw Israel as the top priority for the next stage.",Israel was seen by he.
bart,passive,mismatched,10327,0,Several programs will start in Indianapolis to get more alumni support. ,This fall alumni and students at the Indiana University School of Law Indianapolis will initiate several programs to encourage alumni support for the school.,Several programs was initiated by alumni and students at the Indiana University School of Law Indianapolis.
bart,passive,mismatched,10387,2,There will be an Honors Ceremony on March 5th.,Not only are they winning awards around town but many will be presented with scholarships or gift certificates on April 30th at the annual Awards and Honors Ceremony.,Awards around town was won by they.
bart,passive,mismatched,10605,0,Seasonality is considered to be one of the causes of variations in demand.,"She will first analyze the historical data by separating the causes of past changes in demand into the following  (1) trend, (2) seasonality, (3) cyclicality, and (4) random fluctuation.",The historical data was analyzed by She.
bart,passive,mismatched,10656,2,We don't need to go to our alumni for financial aid in order to accomplish this goal.,We cannot accomplish this goal without the financial help of our alumni and friends.,This goal was accomplished by We.
bart,passive,mismatched,10693,2,None of the hijackers were able to pass the security screening checkpoint.,"All five hijackers passed through the Main Terminal's west security screening checkpoint; United Airlines, which was the responsible air carrier, had contracted out the work to Argenbright Security.","The work was contracted by United Airlines , which was the responsible air carrier ,."
bart,passive,mismatched,10734,1,2-year-old Sophie's parents have been divorced for a year.,"Two days a week, Kevin leaves his office 45 minutes early to take charge of his 2-year-old daughter, Sophie, while her mother, a university professor, teaches a late class.",His office was left by Kevin.
bart,passive,mismatched,10798,0,We can easily purchase laptop computers that are greater than previous computers.,Today we can readily buy lap-top computers with data storage capacity far greater than that entire IBM factory could have offered.,Lap-top computers with data storage capacity far greater than that entire IBM factory was bought by we.
